rank,source_channel,source_subtype,company_name,contact_name,contact_title,contact_linkedin_url,evidence_url,score,recency_days,signal_summary,funding_signal,enrichment_summary
1,linkedin,job_post,Apogee Research  LLC,,,,https://www.linkedin.com/jobs/view/4393147355/,13,0,Embedded Software Engineer posted 0d ago  25 applicants,Apogee Research - Crunchbase Company Profile & Funding Apogee Research is a company that conducts research and development of advanced computer network operati…,Apogee Research - Crunchbase Company Profile & Funding Apogee Research is a company that conducts research and development of advanced computer network operati… | Apogee Research LLC Jobs  Employment in Arlington  VA | Indeed Apogee Research LLC jobs available in Arlington  VA on Indeed.com. Apply to Cybersecurity Specia…
2,linkedin,job_post,Berkley Hunt,,,,https://www.linkedin.com/jobs/view/4391771354/,13,0,Founding Software Engineer posted 0d ago  200 applicants,Positron AI Raises $230M in Series B Funding for AI Infrastructure Positron AI Raises $230M in Series B Funding for AI Infrastructure. View organization page f…,Positron AI Raises $230M in Series B Funding for AI Infrastructure Positron AI Raises $230M in Series B Funding for AI Infrastructure. View organization page f… | Empowering Ambitions  Building Careers - Berkley Hunt Gain access to exclusive job openings in the dynamic US tech market through Berkley Hunt. These roles are…
3,linkedin,job_post,hackajob,,,,https://www.linkedin.com/jobs/view/4391258006/,13,0,Senior Lead Software Engineer - Java posted 0d ago  25 applicants,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D …,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D … | Live Tech Jobs | Software Developer Jobs - Hackajob Jobs. Create a hackajob account for the chance to get matched with jobs ... Verisk Analytics Actively hirin…
4,linkedin,job_post,hackajob,,,,https://www.linkedin.com/jobs/view/4391257017/,13,0,Director  Full-Stack Engineer posted 0d ago  25 applicants,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D …,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D … | Live Tech Jobs | Software Developer Jobs - Hackajob Jobs. Create a hackajob account for the chance to get matched with jobs ... Verisk Analytics Actively hirin…
5,linkedin,job_post,hackajob,,,,https://www.linkedin.com/jobs/view/4391235951/,13,0,DevOps  Integration Specialist for Electronic Trading - Senior Lead Software Engineer posted 0d ago  25 applicants,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D …,hackajob Raises $25 Million in Series B | The SaaS News hackajob Raises $25 Million in Series B. ... Series A to F · Series A · Series B · Series C · Series D … | Live Tech Jobs | Software Developer Jobs - Hackajob Jobs. Create a hackajob account for the chance to get matched with jobs ... Verisk Analytics Actively hirin…
6,linkedin,job_post,Koah,,,,https://www.linkedin.com/jobs/view/4392042843/,13,0,Software Engineer - Backend posted 0d ago  31 applicants,Koah Raises $20.5M in Series A Funding - FinSMEs HomeUSAKoah Raises $20.5M in Series A Funding. USA. Koah Raises $20.5M ... Bluesky Raises $100M in Series B Fu…,Koah Raises $20.5M in Series A Funding - FinSMEs HomeUSAKoah Raises $20.5M in Series A Funding. USA. Koah Raises $20.5M ... Bluesky Raises $100M in Series B Fu… | Koah - Jobs Koah. Open Positions (5). Filters: Department  All Departments  Engineering (4)  Go To Market (1). Location  All Locations  San Francisco (5)  Unit…
7,linkedin,job_post,Pretorin,,,,https://www.linkedin.com/jobs/view/4391221709/,13,0,Founding Engineer posted 0d ago  25 applicants,Climatology: reviews of research - UNESCO Digital Library Series A  Vol. 2  pp. 1-16. KUHLBRODT  E. and REGER  J. 'Die ... Pretorin Kcw Pretoria Kcw Pretoria 0…,Climatology: reviews of research - UNESCO Digital Library Series A  Vol. 2  pp. 1-16. KUHLBRODT  E. and REGER  J. 'Die ... Pretorin Kcw Pretoria Kcw Pretoria 0… | Careers | Pretorin Join Pretorin and help us revolutionize government software compliance. We're looking for talented engineers  designers  and compliance expe…
8,linkedin,job_post,Reflexive Concepts,,,,https://www.linkedin.com/jobs/view/4392058423/,13,0,Software Engineer 0 posted 0d ago  25 applicants,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept…,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept… | Careers - Reflexive Concepts Being an employee of Reflexive Concepts has been a rewarding experience. Beyond offering competitive salaries and choice job oppor…
9,linkedin,job_post,Reflexive Concepts,,,,https://www.linkedin.com/jobs/view/4392042931/,13,0,Software Engineer I posted 0d ago  25 applicants,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept…,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept… | Careers - Reflexive Concepts Being an employee of Reflexive Concepts has been a rewarding experience. Beyond offering competitive salaries and choice job oppor…
10,linkedin,job_post,Reflexive Concepts,,,,https://www.linkedin.com/jobs/view/4392057438/,13,0,Software Engineer III posted 0d ago  25 applicants,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept…,$99k-$190k Remote Data Scientist Jobs in Severna Park  MD ... raised Series B funding and aims for 40% year ... You will own most of this ... Reflexive Concept… | Careers - Reflexive Concepts Being an employee of Reflexive Concepts has been a rewarding experience. Beyond offering competitive salaries and choice job oppor…
11,linkedin,job_post,Rugged Robotics,,,,https://www.linkedin.com/jobs/view/4391761867/,13,0,Robotics Software Engineer posted 0d ago  57 applicants,Rugged Robotics - 2026 Company Profile & Team - Tracxn Rugged Robotics has raised a total funding of $12M over 2 rounds. Its first funding round was on 2019. I…,Rugged Robotics - 2026 Company Profile & Team - Tracxn Rugged Robotics has raised a total funding of $12M over 2 rounds. Its first funding round was on 2019. I… | Careers - Rugged Robotics Level-up your career by having opportunities at Rugged Robotics sent directly to your inbox. Create alert. Search. 8 jobs. Engineerin…
12,linkedin,job_post,VetScribe,,,,https://www.linkedin.com/jobs/view/4391254135/,13,0,Senior Software Engineer posted 0d ago  25 applicants,[PDF] Animal Health and VetScribe streamline veterinary workflows and medical recordkeeping. ... Full-stack pet care startup Supertails raised $15 million in a…,[PDF] Animal Health and VetScribe streamline veterinary workflows and medical recordkeeping. ... Full-stack pet care startup Supertails raised $15 million in a… | VetScribe Get Started | LifeLearn Inc. Careers · Product Sheets · Privacy Policy · Terms of Use · Accessibility · Pet ... vetscribe  vet scribe  vetskribe  vet…
13,linkedin,job_post,Y Combinator,,,,https://www.linkedin.com/jobs/view/4391249481/,13,0,Product Engineer  Applications Operations posted 0d ago  25 applicants,A guide to seed fundraising : YC Startup Library | Y Combinator ... Y Combinator and Imagine K12. YC partners naturally gain a lot of ... First comes a seed ro…,A guide to seed fundraising : YC Startup Library | Y Combinator ... Y Combinator and Imagine K12. YC partners naturally gain a lot of ... First comes a seed ro… | Startup jobs at top Y Combinator startups Y Combinator. Sign In. Find jobs at top YC startups before anyone else. And when you're ready  apply with a single pr…
14,linkedin,post_comment,,Luc Hofkens,Senior logistic manager#coaching people # leverage my experience # provide direction # build growth and impact with the team,https://www.linkedin.com/in/luc-hofkens,https://www.linkedin.com/posts/mark-mccearney-7a8956187_recently-i-went-through-a-process-with-a-activity-7442518293195710464-ieg4,12,1,Commented on agency fee or staffing pain,,Ohio Careers Job Search Job Openings ; Youth Services - Cuyahoga Hills Juvenile Correctional Facility · Public Safety · Veterans Services Georgetown ; OHIO-Cuy…
15,linkedin,job_post,Bow Wave LLC,,,,https://www.linkedin.com/jobs/view/4392001564/,10,0,.NET Full Stack Developer - No. Virginia - TS required to apply posted 0d ago  25 applicants,,
16,linkedin,job_post,Foxglove,,,,https://www.linkedin.com/jobs/view/4393168065/,10,0,Senior Software Engineer  Rust posted 0d ago  25 applicants,,
17,linkedin,job_post,griddable.io,,,,https://www.linkedin.com/jobs/view/4392026643/,10,0,Full Stack Principal Software Engineer - Event Technology posted 0d ago  25 applicants,,
18,linkedin,job_post,Mercor,,,,https://www.linkedin.com/jobs/view/4391240691/,10,0,Internal Backend Solutions Engineer posted 0d ago  25 applicants,,
19,linkedin,job_post,Stacksync - Integration Cloud,,,,https://www.linkedin.com/jobs/view/4391251186/,10,0,Full-Stack Engineer posted 0d ago  35 applicants,,
20,job_board,yc-jobs,Confido,,,,https://www.ycombinator.com/companies/confido/jobs/7d47IqP-staff-software-engineer,10,1,Staff Software Engineer posted 1 day ago (S21),,
21,job_board,yc-jobs,Soraban,,,,https://www.ycombinator.com/companies/soraban/jobs/1qaL5ow-fullstack-software-engineer,10,1,Fullstack Software Engineer posted 1 day ago (W21),,
22,job_board,yc-jobs,Coulomb AI,,,,https://www.ycombinator.com/companies/coulomb-ai/jobs/snH7QYc-backend-developer,10,2,Backend Developer posted 2 days ago (S21),,
23,job_board,yc-jobs,True3D Labs,,,,https://www.ycombinator.com/companies/true3d-labs/jobs/lGhYqPr-research-engineer-machine-learning,10,3,Research Engineer - Machine Learning posted 3 days ago (W21),,
24,job_board,yc-jobs,LiveFlow,,,,https://www.ycombinator.com/companies/liveflow/jobs/yQSiOcS-senior-full-stack-engineer,10,4,Senior Full Stack Engineer posted 4 days ago (W21),,
25,job_board,yc-jobs,Prequel,,,,https://www.ycombinator.com/companies/prequel/jobs/VNoKffl-senior-software-engineer,10,11,Senior Software Engineer posted 11 days ago (W21),,
