rank,company_name,role_title,batch,days_ago,company_url,job_url,score,signal_summary
1,Porter,Backend Engineer (Go),S20,0,https://www.ycombinator.com/companies/porter,https://www.ycombinator.com/companies/porter/jobs/GjO3enf-backend-engineer-go,10,Backend Engineer (Go) posted about 9 hours ago (S20)
2,Athelas,Full-Stack Software Engineer,S16,0,https://www.ycombinator.com/companies/athelas,https://www.ycombinator.com/companies/athelas/jobs/uOF24KR-full-stack-software-engineer,10,Full-Stack Software Engineer posted about 11 hours ago (S16)
3,Seal,Product Engineer,S20,0,https://www.ycombinator.com/companies/seal-2,https://www.ycombinator.com/companies/seal-2/jobs/n4byaPm-product-engineer,10,Product Engineer posted about 12 hours ago (S20)
4,Jiga,Full Stack Product Engineer - Remote/US,W21,1,https://www.ycombinator.com/companies/jiga,https://www.ycombinator.com/companies/jiga/jobs/KMtdgpo-full-stack-product-engineer-remote-us,10,Full Stack Product Engineer - Remote/US posted 1 day ago (W21)
5,Soraban,Fullstack Software Engineer,W21,1,https://www.ycombinator.com/companies/soraban,https://www.ycombinator.com/companies/soraban/jobs/1qaL5ow-fullstack-software-engineer,10,Fullstack Software Engineer posted 1 day ago (W21)
6,Confido,Staff Software Engineer,S21,1,https://www.ycombinator.com/companies/confido,https://www.ycombinator.com/companies/confido/jobs/7d47IqP-staff-software-engineer,10,Staff Software Engineer posted 1 day ago (S21)
7,Coulomb AI,Backend Developer,S21,2,https://www.ycombinator.com/companies/coulomb-ai,https://www.ycombinator.com/companies/coulomb-ai/jobs/snH7QYc-backend-developer,10,Backend Developer posted 2 days ago (S21)
8,OneChronos,Software Engineer  Data Platform,S16,2,https://www.ycombinator.com/companies/onechronos,https://www.ycombinator.com/companies/onechronos/jobs/vqgGG8a-software-engineer-data-platform,10,Software Engineer  Data Platform posted 2 days ago (S16)
9,FrontPage,Tech Owner - Platform & AI Evolution,S21,3,https://www.ycombinator.com/companies/frontpage,https://www.ycombinator.com/companies/frontpage/jobs/PJT1Nay-tech-owner-platform-ai-evolution,10,Tech Owner - Platform & AI Evolution posted 3 days ago (S21)
10,True3D Labs,Research Engineer - Machine Learning,W21,3,https://www.ycombinator.com/companies/true3d-labs,https://www.ycombinator.com/companies/true3d-labs/jobs/lGhYqPr-research-engineer-machine-learning,10,Research Engineer - Machine Learning posted 3 days ago (W21)
11,LiveFlow,Senior Full Stack Engineer,W21,4,https://www.ycombinator.com/companies/liveflow,https://www.ycombinator.com/companies/liveflow/jobs/yQSiOcS-senior-full-stack-engineer,10,Senior Full Stack Engineer posted 4 days ago (W21)
12,Flock Safety,Staff AI Systems Engineer,S17,4,https://www.ycombinator.com/companies/flock-safety,https://www.ycombinator.com/companies/flock-safety/jobs/rd2Qy51-staff-ai-systems-engineer,10,Staff AI Systems Engineer posted 4 days ago (S17)
13,Method Financial,Software Engineer,S19,4,https://www.ycombinator.com/companies/method-financial,https://www.ycombinator.com/companies/method-financial/jobs/n1MzWcu-software-engineer,10,Software Engineer posted 4 days ago (S19)
14,Caribou,Senior Software Engineer,W19,8,https://www.ycombinator.com/companies/caribou,https://www.ycombinator.com/companies/caribou/jobs/k1jD9c5-senior-software-engineer,10,Senior Software Engineer posted 8 days ago (W19)
15,Wasmer,Rust - Software Engineer (FTE),S19,8,https://www.ycombinator.com/companies/wasmer,https://www.ycombinator.com/companies/wasmer/jobs/lG79n4xvg-rust-software-engineer-fte,10,Rust - Software Engineer (FTE) posted 8 days ago (S19)
